ID,Location,Catalogue or inventory number or Provenance,Ht (= height),Diam,Plate reference,Description
1847,INDEX OF,11424 (L. 562). ,Ht. 12, , ,"That of no. 402 is less certain, since the vase is in very bad condition, only part of the obverse and none of the reverse remaining. The shape, decorative patterns, the framing of the pictures and the half-laver to left all link it with no. 401; the drapery of the woman, with the horizontal rows of dots, also suggests that it might well be placed here. Two other skyphoi seem also to be by this painter, though they show slight differences of treatment in the drawing and the drapery. "
1848,Skyphoid pyxis,11425. ,Ht. 24, , ,"(a) Standing nude woman and draped woman with mirror, [b) standing half-draped woman. Double palmette, cf. with those on B.M. F357 (no. 409 below). "
1849,Oenochoe, on loan from C. Valente. ,Ht. 15, , ,"(a) Bearded silen with stick, bending forward by standing draped woman, holding fillet, [b) standing draped woman with 'skewer of fruit', nude youth with fillet. "
1850,Lekanis, Royal,Ht. 22, , ,"on the obverse and the half-draped one on the reverse. The standing woman on the obverse is, at least to a certain extent, comparable to those on nos. 387 and 391, "
1851,COPENHAGEN,22259,Ht. 15, , ,"the same treatment of the drapery in the area of the breasts. On this skyphos, "
1852,CRACOW,11413 (L. 558). ,Ht. 35, , ,"descend, exactly as they do also on no. 404. The skyphos in the Chateau de Nohant was kindly brought to my notice by Dr. Dietrich von Bothmer and is known to me "
1853,Once DEEPDENE,6071,Ht. 5-, , ,"obverse and that on no. 402 that they ought to be by the same painter. Here both pictures are framed between reserved bands as against framing palmettes on the reverse of no. 403, but otherwise the decoration is very similar. OTHER PAINTERS IN THE ASTEAS-PYTHON WORKSHOP  181 (iii) More developed in style We come now to a group of vases which, while still connected in style with those in "
1854,Lekanides,5494,Ht. 20, ,PLATE238* ,"characteristics of their own, notably in the heavier heads with their strongly pronounced chins which may be seen on many of the vases (e.g. nos. 408-12). They may well represent a more developed phase in the artist's career, since the heads below the handles on no. 409 find very close parallels in the heads on nos. 379 (bust, top left) and 382, and there are other points of resemblance (e.g.. in the half-draped women on nos. 405, 411 and 412; the dotted drapery on no. 406), but it will be noted that we no longer find the steps on the dot-stripe borders, and that the fold-lines across the drapery over the legs of seated figures assume a marked horizontal tendency (as on nos. 405, 411-12), which was not present before. We should also note the rendering of the faces with the very heavy chins, the slight downward curve to the mouth and the general look of severity, which is very apparent in the heads below the handles of the hydriai (nos. 406-9) as well as on the standing draped woman on no. 408 and the seated half-draped woman on nos. 410^11. The skyphos (no. 405) is similar in decoration to no. 402, with the same red fillets looped over the cross-bars of the triangles in the top left corners, and the half-visible laver is also closely comparable, with the same black lines for the fluting on the pedestal; physically the seated Dionysos reminds us of the youth to left on the obverse of no. 379 and the head of the woman on the reverse recalls that of the woman on no. 395, but is still closer to the head below the left handle of no. 406. The heads below the handles of the four hydriai (nos. 406-9) have much in common between them—the downward curve of the mouth, the heavy, rounded chin, the drawing of the eyes, and, despite superficial differences, look to be the work of one painter (cf. also the heads on no. 410). The head of the seated woman on "
1855,Oenochoe,4998,Ht. 29, , ,"extremely like those below the handles of no. 408. The superposed palmette-fans below the handles on the skyphos (no. 405) are comparable to those on no. 408, where the two component elements do not meet, as also on no. 409 where, however, the leaves of the lower fan turn inwards (cf. the skyphos no. 403). The hydriai seem "
1856,CV,HU,Ht. 32, , ,"for the posing of the figures, the drapery and the palmettes below the handles); it will be noted that the standard framing palmettes appear behind the heads, except on no. 467, of which a good deal is missing. Skyphos "
1857,GERMANY,6565,Ht. 14, , ,"missing.  PLATE 125 c,/ (a) Half-draped Dionysos seated on klismos, with thyrsus in 1. hand, phiale of eggs, wreath and fillet in r., facing bearded silen with egg in r. hand, thyrsus in 1., beside a laver, [b) young Pan-satyr with thyrsus and spray standing in front of seated half-draped woman, with phiale and wreath in r. hand, mirror in 1. Hydriai "
1858,THE HAGUE, Antikenmuseum und Sammlung ,Ht. 14, ,PLATE238/ ,"PP, no. 73; PPSupp, no. 105. Draped woman in front of whom a youth, with drapery round lower part of his body, is bending forward. "
1859,Lekythos,,Ht. 11, , ,
1860,,,Ht. 17, ,PLATE 239 a ,"missing.  Detail: PLATE 126 a"" Eros, seated woman (almost completely lost), holding a dish on which a bird is perched, nude youth. Below the handles: female heads. "
1861,LEIPZIG, private coll. ,Ht. 18, ,"PLATE 239 b, c ","Hermes, wearing petasos and holding egg in his r. hand and caduceus in his 1., which rests upon a stele, between a silen, with thyrsus and egg, and a draped woman with phiale and wreath in r. hand, fillet in 1. Below the handles: female heads. *409  B.M. F 357. Ht. 45.  PLATE 127 a-c PP, no 84, fig. 40; PPSupp, no. 113. Dionysos with thyrsus, spray and phiale, drapery over 1. arm, standing woman with wreath. Below the handles: female heads. The heads below the handles of the above hydriai, especially no. 408, suggest that the following vase, which is decorated with very similar heads should be placed "
1862,LENINGRAD,,Ht. 24, ,PLATE 239 a,Bell-krater 
1863,Fragments, Indiana U niversity Art ,Ht. 28, , ,
1864,Hesperides,,Ht. 34, ,"PLATE 239 e,f ","(a) Female head—to 1.—black beaded kekryphalos, row of white beads at each side, [b) head of youth—to r., leafy wreath. The two following vases are closely connected by the treatment of the half-draped women: Bell-krater "
1865,Centaur,, , ,PLATE 239 ,
1866,Hydriai, Museo Civico ,Ht. 27, , ,"(a) Seated half-draped woman holding cista and fillet in r. hand, wreath in 1., [b) satyr with thyrsus and 'skewer of fruit' striding to r. Lekanis "
1867,INDEX OF,(shape 3) , ,Diam. 17-5, ,"Eros with phiale of eggs and wreath in 1. hand, fillet in r., flying towards stele, beside which sits a half-draped woman, holding an egg in her r. hand, a dish of eggs and a wreath in herl. (iv) Closely related Vases, perhaps by the painter himself The vases in this division are closely related in style to the work of the Painter of "
1868,Oenochoe,(Brunswick),Ht. 24, , ,"not sufficiently well preserved to be certain of such an attribution. The three following vases are the work of one hand and are closely interconnected by the treatment of the drapery borders, which combine dot-stripe with plain black. The lower border of the himatia of the two right-hand figures on the reverses of nos. 413-4 is drawn in a very similar manner; on the youth to left on the latter it breaks up in the corner into a series of small black strokes, comparable to those on the piece of drapery over the arm of the youth on the reverse of no. 415. The standing woman on the obverse of no. 413 should be compared with those on the two skyphoi nos. OTHER PAINTERS IN THE ASTEAS-PYTHON WORKSHOP  183 403-4; the hair of the nude youth beside her is done up in a manner similar to that no nos. 379, 382 and 385. The obverse of no. 414 has a similar theme to that of no. 383, though there the papposilen is better drawn. The draped youth to left on its reverse is very like his counterpart on no. 379, where, however, the himation has the typical 'stepped' border. The himation of the draped woman on the pelike no. 415 has the characteristic double curve in the lower right-hand corner, as on nos. 379 and 385 (cf. Fig. 6 b). All these correspondences in detail suggest that if these vases are not by the painter himself, they are the work of a very close imitator. Bell-kraters "
1869,Oenochoai,,Ht. 21, , ,"PLATE 128 a, b [a) Draped woman with stick and egg, effeminate nude youth with wreath by stele, [b) draped youth (Br, with r. shoulder bare), seated draped youth. "
1870,Oenochoe,372  2,Ht. 18, , ,
1871,Oenochoai,I,Ht. 18, , ,"(a) White-haired silen with thyrsus standing in front of seated half-draped Dionysos with kantharos, [b) draped youth (Al) and draped woman (type A2). Pelike "
1872,Epichysis,,Ht. 23, , ,"PP, no. 377; PPSupp, no. 497. (a) Standing draped woman with spray and mirror, [b) nude youth, running to r. and looking back to 1., spray in r. hand, stick in 1., with 1. arm enveloped in drapery. (*) Neck-amphorae "
1873,Pelikai,(shape 6) ,Ht. 24, ,PLATE240a ,"(a) Seated half-draped woman, standing youth with drapery across the lower part of his body and over his 1. shoulder, [b) two draped figures, with long hair, Al + Br. Neck: (a) and [b) female head. "
1874,Skyphoi,,Ht. 20, , ,"(a) Draped woman with phiale, nude youth with drapery over 1. arm, [b) draped woman with phiale and mirror. Neck: (a) and [b) female head. No. 416 might also be by the painter himself. The heads on the neck are like those on no. 379 and the treatment of the dot-stripes on the drapery is also very much in his manner. Unfortunately most of the detail has now disappeared and, in "
1875,Skyphoid pyxis, Ny Carlsberg Glyptotek ,Ht. 22, , ,"treated. No. 417 is even less well preserved, but the standing draped woman is comparable with the one on no. 387 and the youth with the corresponding figures on nos. 395 and 412. On no. 417 the pictures are framed between reserved bands, but not the heads on the neck; on no. 416 the opposite is the case. "
1876,MAINZ, Czartoryski Museum ,Ht. 22, , ,Neck-amphora 
1877,Museum, Hope coll. ,Ht. 21, , ,"missing; ht. to top of body, 34-5; to top of surviving handle, 47-7.  PLATE 129 a, b VMG,  pp. 229-30, no. 105 (ill.). "
1878,,,Ht. 22, , ,
1879,Oenochoe,(shape 3) ,Ht. 21, , ,"workshop, both for subject and style, and it is surprising that as yet no other vase seems specifically attributable to the artist who painted it, though it clearly is very "
1880,MNICHOVO HRADISTE, pi. 5,Ht. 24, , ,"The scene on the obverse, which is framed between reserved bands, with a triangle in the top left corner, over the crossbar on which a fillet is draped as on nos. 402 and 405, represents Orestes about to slay his mother Clytemnestra. He is nude, except for a chlamys, with embroidered patterns and plain black border, which hangs down his back along with a pilos in added white. He has high laced boots and stands on rocky ground, his left leg resting on some eminence behind his victim; with "
1881,Oenochoe, private coll actions ,Ht. 14, , ,"grabs a lock of Clytemnestra's hair, no doubt in readiness to expose her throat to his sword. She raises her right hand in a gesture of despairing entreaty, and with her left covers her bared right breast. She wears a chiton and has a piece of drapery wrapped round the lower part of her body. Both have a large number of fine fold-lines, the chiton a central dot-stripe, the other piece of drapery a dot-stripe border. In the top right corner appears the bust of a Fury, in huntress costume, with a snake entwined in her hair and two others, wrapped round each arm. The himatia of the two youths on the reverse also have dot-stripe borders; their pose recalls that on nos. 171, 177 and 183 by Asteas or no. 271 by Python, but we should note the bent leg of the youth to right, which is drawn much further back than would be usual on a vase by either of those two artists. The drawing is careful and the fold-lines of the drapery are shown in great detail, often appearing in small clusters. In this regard it has elements in common "
1882,MONTPELLIER, Schneider ,Ht. 15, , ,"and the drapery of Clytemnestra with those of Makaria on the latter's name vase. The Getty amphora, however, is a more powerful piece: it is not overcrowded like some of Python's larger vases, it renders a dramatic moment with strong, but not over-emphasised, emotion, leaving one with some sense of regret that more works by the same hand have not yet come to light. 3. THE PAINTER OF PAESTUM 21602 Only two vases can, as yet, be attributed to this painter, a lebes gamikos of comparatively elaborate design and a stemless cup. Lebes gamikos "
1883,,(squat) ,Ht. 15, , ,"Auction 1, 18 Sept. 1981, no. 30. (a) Youth, with cloak round middle of body, holding mirror and fillet, standing draped woman, Eros sitting on laver, [b) Eros bending forward in front of standing woman, holding fillet. Lid—lekanis: (a) female head to r., [b) bird; bowl: (a) female head, [b) bird. The picture on (a) is framed between reserved bands decorated with b.f. ivy-leaves, on [b) between plain reserved bands. "
